,transaction_id,date,client_id,card_id,amount,use_chip,merchant_id,merchant_name,merchant_city,merchant_state,zip,mcc,id,current_age,retirement_age,birth_year,birth_month,gender,address,latitude,longitude,per_capita_income,yearly_income,total_debt,credit_score,num_credit_cards,id_card,client_id_card,card_brand,card_type,card_number,expires,cvv,has_chip,num_cards_issued,credit_limit,acct_open_date,year_pin_last_changed,card_on_dark_web,Is_fraud,Details
10,7475338,1/1/2010 0:23,554,3912,$3.51 ,Swipe Transaction,67570,Pearland,TX,77581,5311,"
",554,59,67,1960,8,Male,6310 Sixth Street,29.65999984741211,-95.04000091552734,26170.0,53357.0,114266.0,690,5,3912,554,Visa,Debit,4096589319918041,04/2021,856,False,1,25658.0,07/2009,2009,No,No,
11,7475339,1/1/2010 0:23,605,5061,$2.58 ,Swipe Transaction,75781,Brooklyn,NY,11210,5411,"
",605,42,73,1977,10,Male,663 Summit Boulevard,40.63999938964844,-73.94000244140625,23316.0,47542.0,2667.0,725,3,5061,605,Visa,Debit,4799699589870743,06/2021,178,True,2,1484.0,10/2006,2011,No,No,
12,7475340,1/1/2010 0:26,1556,2972,$39.63 ,Swipe Transaction,59935,Beulah,ND,58523,5499,"
",1556,30,67,1989,7,Female,594 Mountain View Street,46.79999923706055,-100.76000213623047,23679.0,48277.0,110153.0,740,4,2972,1556,Mastercard,Debit (Prepaid),5497590243197280,07/2022,306,True,2,55.0,05/2008,2008,No,No,
13,7475341,1/1/2010 0:27,1797,1127,$43.33 ,Swipe Transaction,33326,Kahului,HI,96732,4121,"
",1797,67,65,1952,11,Male,391 Martin Luther King Boulevard,37.709999084472656,-122.16000366210938,24971.0,30962.0,15336.0,743,5,1127,1797,Visa,Debit,4777281869545650,02/2017,256,True,2,23237.0,02/2007,2009,No,No,
14,7475342,1/1/2010 0:30,114,3398,$49.42 ,Swipe Transaction,61195,North Hollywood,CA,91606,5541,"
",114,47,65,1972,12,Female,112 Elm Avenue,34.18000030517578,-118.38999938964844,16892.0,34441.0,907.0,725,4,3398,114,Mastercard,Debit,5563288095981743,07/2023,711,True,2,27447.0,06/2008,2010,No,No,
15,7475343,1/1/2010 0:31,1634,2464,$1.09 ,Swipe Transaction,20519,San Benito,TX,78586,5942,"
",1634,66,68,1953,3,Male,703 West Drive,26.18000030517578,-98.11000061035156,10091.0,20577.0,60152.0,825,4,2464,1634,Mastercard,Debit,5524436846278703,07/2020,697,True,2,8638.0,04/2004,2014,No,,
16,7475344,1/1/2010 0:32,646,2093,$73.79 ,Swipe Transaction,1636,Erie,PA,16511,7538,"
",646,38,65,1981,12,Female,354 Federal Street,41.470001220703125,-81.66999816894531,21402.0,43634.0,73037.0,786,3,2093,646,Mastercard,Credit,5417194878972795,04/2021,638,True,2,14500.0,03/2005,2019,No,No,
17,7475345,1/1/2010 0:32,1129,5492,$100.00 ,Swipe Transaction,27092,Vista,CA,92084,4829,"
",1129,49,65,1970,4,Male,2379 Forest Lane,33.18000030517578,-117.29000091552734,16894.0,34449.0,36540.0,686,3,5492,1129,Mastercard,Debit,5988252449836290,01/2015,438,True,2,18109.0,11/2007,2010,No,No,
18,7475346,1/1/2010 0:34,394,4717,$26.04 ,Online Transaction,39021,ONLINE,,,4784,"
",394,52,71,1967,4,Male,514 Pine Boulevard,41.09000015258789,-73.55000305175781,34138.0,69604.0,47193.0,684,4,4717,394,Mastercard,Debit,5853043877946018,06/2023,333,True,1,23310.0,09/2009,2009,No,No,
19,7475347,1/1/2010 0:36,114,3398,($64.00),Swipe Transaction,61195,North Hollywood,CA,91606,5541,"
",114,47,65,1972,12,Female,112 Elm Avenue,34.18000030517578,-118.38999938964844,16892.0,34441.0,907.0,725,4,3398,114,Mastercard,Debit,5563288095981743,07/2023,711,True,2,27447.0,06/2008,2010,No,No,
20,7475348,1/1/2010 0:36,1376,2182,$54.27 ,Swipe Transaction,88945,Cedar Park,TX,78613,5813,"
",1376,49,68,1971,1,Female,97536 Summit Street,30.510000228881836,-97.83000183105469,30418.0,62019.0,85666.0,543,4,2182,1376,Mastercard,Credit,5822242274317975,10/2023,304,True,2,13100.0,03/2008,2015,No,No,
21,7475349,1/1/2010 0:37,1682,238,$20.74 ,Swipe Transaction,21586,Grand Forks,ND,58201,5411,"
",1682,57,69,1962,5,Male,241 Hillside Lane,47.90999984741211,-97.06999969482422,23910.0,48750.0,117616.0,716,5,238,1682,Mastercard,Credit,5970339574772530,10/2021,757,True,2,13200.0,01/2010,2014,No,No,
22,7475350,1/1/2010 0:38,114,3398,$64.00 ,Swipe Transaction,61195,North Hollywood,CA,91606,5541,"
",114,47,65,1972,12,Female,112 Elm Avenue,34.18000030517578,-118.38999938964844,16892.0,34441.0,907.0,725,4,3398,114,Mastercard,Debit,5563288095981743,07/2023,711,True,2,27447.0,06/2008,2010,No,No,
23,7475351,1/1/2010 0:38,121,5952,$57.54 ,Swipe Transaction,11901,Menasha,WI,54952,5300,"
",121,34,66,1985,11,Female,71858 Mountain View Street,44.209999084472656,-88.43000030517578,22277.0,45419.0,124370.0,721,3,5952,121,Visa,Debit,4716535552633032,02/2023,508,True,1,18137.0,12/2008,2011,No,,
24,7475353,1/1/2010 0:43,301,3742,$10.17 ,Online Transaction,39021,ONLINE,,,4784,"
",301,47,69,1972,11,Male,6009 River Avenue,34.2400016784668,-84.48999786376953,25654.0,52308.0,135319.0,679,1,3742,301,Visa,Credit,4180974548713374,05/2023,975,True,1,21000.0,07/2005,2009,No,No,
25,7475354,1/1/2010 0:43,1755,4228,$12.01 ,Swipe Transaction,28666,Cordele,GA,31015,5921,"
",1755,53,70,1967,2,Male,302 Park Boulevard,31.959999084472656,-83.7699966430664,13864.0,28269.0,66681.0,734,6,4228,1755,Visa,Debit,4467616812518975,10/2020,60,True,1,12519.0,08/2007,2009,No,No,
26,7475356,1/1/2010 0:45,566,3439,$16.86 ,Online Transaction,16798,ONLINE,,,4121,"
",566,60,67,1959,10,Female,8179 Valley Stream Drive,42.790000915527344,-83.62000274658203,22680.0,46244.0,108449.0,814,5,3439,566,Mastercard,Credit,5578674156872455,02/2023,118,True,1,11000.0,06/2009,2009,No,,
27,7475357,1/1/2010 0:46,379,3881,$4.64 ,Swipe Transaction,50783,Mobile,AL,36695,5411,"
",379,47,65,1972,11,Female,837 Lincoln Avenue,30.68000030517578,-88.04000091552734,21331.0,43496.0,114563.0,765,3,3881,379,Mastercard,Debit,5400182448188961,10/2021,412,True,1,24232.0,07/2009,2009,No,No,
28,7475358,1/1/2010 0:48,401,3004,$669.88 ,Swipe Transaction,68977,West Covina,CA,91791,3174,"
",401,81,71,1938,9,Male,84497 Valley Stream Drive,34.20000076293945,-118.38999938964844,15239.0,28644.0,879.0,806,7,3004,401,Mastercard,Debit,5192267246661566,10/2024,412,True,1,17691.0,05/2009,2009,No,,
29,7475359,1/1/2010 0:48,1127,3869,$22.57 ,Online Transaction,39021,ONLINE,,,4784,"
",1127,59,70,1960,8,Male,60396 Elm Street,26.139999389648438,-81.79000091552734,17455.0,35590.0,92603.0,720,4,3869,1127,Visa,Debit,4858037645038535,09/2020,745,True,1,27646.0,07/2008,2009,No,No,
30,7475360,1/1/2010 0:49,652,4293,$2.40 ,Swipe Transaction,74624,East Hartford,CT,6108,5411,"
",652,82,66,1937,9,Female,9952 South Lane,41.7599983215332,-72.61000061035156,20065.0,22726.0,1692.0,784,6,4293,652,Mastercard,Debit,5481971913958210,07/2023,8,True,1,19962.0,08/2009,2012,No,No,
31,7475361,1/1/2010 0:53,1963,3317,$40.35 ,Swipe Transaction,69972,Vacaville,CA,95687,5814,"
",1963,98,69,1921,11,Male,468 Spruce Street,38.349998474121094,-121.93000030517578,26137.0,33869.0,370.0,821,7,3317,1963,Mastercard,Debit,5735308019363324,02/2024,502,True,1,25297.0,06/2006,2006,No,No,
32,7475362,1/1/2010 0:56,1357,4488,$14.57 ,Swipe Transaction,78632,Tacoma,WA,98404,5921,"
",1357,75,65,1944,12,Female,402 Birch Boulevard,47.20000076293945,-122.4000015258789,16941.0,11410.0,0.0,812,7,4488,1357,Amex,Credit,323578133531197,06/2022,404,True,1,8000.0,09/1995,2003,No,No,
33,7475363,1/1/2010 0:57,285,3442,$7.80 ,Swipe Transaction,81536,Watsonville,CA,95076,5310,"
",285,62,69,1957,8,Male,702 Elm Drive,36.95000076293945,-121.72000122070312,16920.0,34496.0,33122.0,731,5,3442,285,Visa,Debit (Prepaid),4099931530727553,02/2022,393,True,1,65.0,06/2009,2009,No,No,
34,7475364,1/1/2010 0:57,1201,16,$2.95 ,Swipe Transaction,61195,Woburn,MA,1801,5541,"
",1201,60,66,1959,11,Male,175 Valley Drive,42.36000061035156,-71.36000061035156,56632.0,115465.0,195657.0,715,4,16,1201,Visa,Debit,4817273521248161,10/2023,706,True,2,55693.0,01/2000,2006,No,,
35,7475365,1/1/2010 1:01,820,127,$270.22 ,Online Transaction,73186,ONLINE,,,4814,"
",820,70,59,1949,12,Female,669 South Street,41.70000076293945,-70.30000305175781,26762.0,41902.0,29713.0,633,5,127,820,Mastercard,Debit,5738964942904646,11/2020,730,True,1,20759.0,01/2007,2009,No,No,
36,7475366,1/1/2010 1:03,1703,2969,$78.00 ,Swipe Transaction,43293,Grand Junction,CO,81506,5499,"
",1703,47,65,1972,8,Female,1532 Birch Drive,39.08000183105469,-108.55000305175781,24115.0,49169.0,65994.0,747,2,2969,1703,Mastercard,Credit,5745606898714105,06/2022,753,True,2,10600.0,05/2008,2019,No,No,
37,7475367,1/1/2010 1:06,1758,4686,$87.09 ,Online Transaction,17976,ONLINE,,,4900,"
",1758,57,66,1963,1,Male,126 Valley Drive,32.31999969482422,-90.19999694824219,11061.0,22556.0,43260.0,645,4,4686,1758,Visa,Debit,4716755530325962,12/2024,821,True,2,8278.0,09/2008,2010,No,No,
38,7475368,1/1/2010 1:07,414,2815,$148.39 ,Swipe Transaction,5258,Morristown,NJ,7960,4900,"
",414,45,66,1975,1,Female,471 Eighth Lane,40.790000915527344,-74.47000122070312,55362.0,112875.0,44432.0,709,2,2815,414,Mastercard,Debit,5489310042170577,02/2022,555,True,1,62703.0,05/2001,2007,No,No,
39,7475370,1/1/2010 1:07,1963,3364,$48.12 ,Swipe Transaction,88646,Vacaville,CA,95688,5812,"
",1963,98,69,1921,11,Male,468 Spruce Street,38.349998474121094,-121.93000030517578,26137.0,33869.0,370.0,821,7,3364,1963,Visa,Debit,4714171193381622,11/2024,214,True,1,18384.0,06/2007,2009,No,,
40,7475371,1/1/2010 1:08,561,3764,$7.75 ,Swipe Transaction,86977,Burlington,IA,52601,5813,"
",561,48,67,1971,6,Male,604 Pine Street,40.79999923706055,-91.12000274658203,18076.0,36853.0,112139.0,834,5,3764,561,Mastercard,Debit,5250625336912959,04/2022,326,True,1,26960.0,07/2006,2010,No,No,
41,7475372,1/1/2010 1:11,566,5577,$14.66 ,Online Transaction,16798,ONLINE,,,4121,"
",566,60,67,1959,10,Female,8179 Valley Stream Drive,42.790000915527344,-83.62000274658203,22680.0,46244.0,108449.0,814,5,5577,566,Mastercard,Credit,5588638647228889,09/2012,525,True,1,10100.0,11/2009,2009,No,No,
42,7475373,1/1/2010 1:11,1642,4281,$3.96 ,Swipe Transaction,44625,Manasquan,NJ,8736,5812,"
",1642,37,66,1982,4,Female,48190 Plum Drive,39.959999084472656,-74.05999755859375,19848.0,40470.0,41938.0,731,5,4281,1642,Visa,Debit,4680328184934192,12/2012,377,True,1,26730.0,08/2008,2010,No,,
43,7475374,1/1/2010 1:13,1684,94,$12.67 ,Online Transaction,39021,ONLINE,,,4784,"
",1684,56,65,1963,11,Male,27019 Madison Lane,36.34000015258789,-83.27999877929688,13668.0,27861.0,108313.0,782,5,94,1684,Mastercard,Debit,5761884540845430,06/2022,312,True,1,9263.0,01/2006,2010,No,,
44,7475376,1/1/2010 1:19,989,2511,$580.98 ,Swipe Transaction,73661,Thackerville,OK,73459,7995,"
",989,78,66,1941,9,Male,6283 Rose Avenue,38.869998931884766,-77.4000015258789,46175.0,113514.0,16524.0,727,8,2511,989,Mastercard,Debit,5676028749684108,01/2022,678,True,2,4707.0,04/2006,2015,No,,
45,7475377,1/1/2010 1:19,1519,2452,$10.34 ,Swipe Transaction,12399,Laurel,MT,59044,5813,"
",1519,41,72,1978,3,Female,98086 Essex Drive,45.599998474121094,-108.68000030517578,19625.0,40012.0,59472.0,849,4,2452,1519,Visa,Debit,4009658209741631,12/2023,357,False,2,19037.0,04/2003,2011,No,No,
46,7475378,1/1/2010 1:19,1575,2112,$17.14 ,Swipe Transaction,29232,Osprey,FL,34229,4121,"
",1575,51,68,1968,5,Female,23 12th Boulevard,27.190000534057617,-82.48999786376953,28272.0,57646.0,127892.0,724,4,2112,1575,Mastercard,Debit,5700169734076825,05/2011,638,True,1,18138.0,03/2006,2008,No,No,
47,7475379,1/1/2010 1:22,986,4755,$1.85 ,Swipe Transaction,14528,Garden City,NY,11530,5499,"
",986,32,70,1987,7,Male,6577 Lexington Lane,40.650001525878906,-73.58000183105469,23550.0,48010.0,87837.0,703,3,4755,986,Visa,Debit,4947422352493090,01/2023,940,True,2,15094.0,09/2009,2011,No,No,
48,7475380,1/1/2010 1:23,1703,2969,$71.72 ,Swipe Transaction,43293,Grand Junction,CO,81506,5499,"
",1703,47,65,1972,8,Female,1532 Birch Drive,39.08000183105469,-108.55000305175781,24115.0,49169.0,65994.0,747,2,2969,1703,Mastercard,Credit,5745606898714105,06/2022,753,True,2,10600.0,05/2008,2019,No,No,
49,7475381,1/1/2010 1:25,430,5768,$200.00 ,Swipe Transaction,27092,Crown Point,IN,46307,4829,"
",430,52,67,1967,5,Female,903 Hill Boulevard,41.41999816894531,-87.3499984741211,26168.0,53350.0,128676.0,685,5,5768,430,Visa,Credit,4148787669895828,08/2022,50,True,1,17700.0,12/2000,2009,No,,
50,7475382,1/1/2010 1:25,1703,2969,($78.00),Swipe Transaction,43293,Grand Junction,CO,81506,5499,"
",1703,47,65,1972,8,Female,1532 Birch Drive,39.08000183105469,-108.55000305175781,24115.0,49169.0,65994.0,747,2,2969,1703,Mastercard,Credit,5745606898714105,06/2022,753,True,2,10600.0,05/2008,2019,No,No,
51,7475383,1/1/2010 1:30,1357,65,$23.08 ,Swipe Transaction,80797,Tacoma,WA,98404,5813,"
",1357,75,65,1944,12,Female,402 Birch Boulevard,47.20000076293945,-122.4000015258789,16941.0,11410.0,0.0,812,7,65,1357,Amex,Credit,302737588175602,04/2020,900,True,2,14600.0,01/2005,2014,No,No,
52,7475385,1/1/2010 1:37,1484,2527,$40.00 ,Swipe Transaction,27092,Pinetop,AZ,85935,4829,"
",1484,92,72,1927,8,Female,290 Forest Street,32.279998779296875,-110.7300033569336,30818.0,57732.0,2261.0,726,6,2527,1484,Mastercard,Debit,5093901939500036,03/2024,472,True,2,39533.0,04/2007,2016,No,No,
53,7475388,1/1/2010 1:40,1077,2539,$2.43 ,Swipe Transaction,46284,Ukiah,CA,95482,5411,"
",1077,57,54,1962,12,Female,886 Plum Boulevard,39.119998931884766,-123.27999877929688,17899.0,12044.0,10323.0,576,3,2539,1077,Mastercard,Debit,5324493090826390,11/2014,819,True,2,17034.0,04/2007,2007,No,,
54,7475389,1/1/2010 1:40,1787,2228,$3.77 ,Swipe Transaction,20519,Lexington,KY,40515,5942,"
",1787,52,66,1967,9,Female,417 Hill Lane,38.040000915527344,-84.44999694824219,28583.0,58278.0,51539.0,689,6,2228,1787,Mastercard,Debit,5686962857502766,06/2022,257,True,1,27590.0,03/2009,2010,No,No,
55,7475390,1/1/2010 1:41,247,4155,$3.29 ,Swipe Transaction,92883,Lake Charles,LA,70605,5812,"
",247,49,69,1970,7,Female,704 East Drive,30.209999084472656,-93.19999694824219,26772.0,54587.0,69070.0,761,6,4155,247,Mastercard,Debit,5711629583407537,01/2012,577,True,2,16751.0,08/2005,2010,No,No,
56,7475391,1/1/2010 1:41,1087,1029,$62.98 ,Online Transaction,17976,ONLINE,,,4900,"
",1087,40,65,1979,12,Female,613 George Boulevard,37.529998779296875,-84.66000366210938,15202.0,30997.0,81716.0,722,2,1029,1087,Mastercard,Debit,5403500140212676,02/2020,642,False,1,9433.0,02/2004,2009,No,,
57,7475394,1/1/2010 1:46,1575,224,$34.34 ,Online Transaction,16798,ONLINE,,,4121,"
",1575,51,68,1968,5,Female,23 12th Boulevard,27.190000534057617,-82.48999786376953,28272.0,57646.0,127892.0,724,4,224,1575,Mastercard,Debit,5107151477861238,06/2021,365,True,1,23016.0,01/2010,2010,No,No,
58,7475395,1/1/2010 1:47,1731,2797,$73.46 ,Swipe Transaction,18293,Fontana,CA,92336,7995,"
",1731,64,66,1956,1,Female,599 First Drive,34.13999938964844,-117.44999694824219,23172.0,47242.0,62224.0,704,6,2797,1731,Mastercard,Debit,5543346867967379,11/2024,275,True,1,16409.0,05/1998,2008,No,No,
59,7475396,1/1/2010 1:48,125,2023,$9.16 ,Swipe Transaction,23462,Modesto,CA,95351,5813,"
",125,64,70,1956,2,Female,9505 Martin Luther King Avenue,37.630001068115234,-121.01000213623047,13015.0,26535.0,93592.0,724,5,2023,125,Mastercard,Debit,5228524583663222,06/2023,720,True,2,1326.0,03/2001,2011,No,,
60,7475397,1/1/2010 1:48,989,4124,$541.29 ,Swipe Transaction,40475,Arlington Heights,IL,60005,7802,"
",989,78,66,1941,9,Male,6283 Rose Avenue,38.869998931884766,-77.4000015258789,46175.0,113514.0,16524.0,727,8,4124,989,Visa,Credit,4119849353170305,02/2020,170,True,2,21600.0,08/2003,2015,No,,
61,7475398,1/1/2010 1:53,63,60,$30.69 ,Swipe Transaction,32175,Newark,NJ,7104,7538,"
",63,40,64,1979,12,Male,390 Tenth Street,40.720001220703125,-74.16999816894531,17370.0,35418.0,51741.0,660,6,60,63,Visa,Debit,4840372814737208,11/2022,357,True,2,17082.0,01/2004,2011,No,No,
62,7475399,1/1/2010 1:54,152,2848,$177.41 ,Swipe Transaction,86616,Muscle Shoals,AL,35661,4814,"
",152,37,68,1982,3,Female,49 Tenth Street,33.720001220703125,-84.31999969482422,24196.0,49335.0,51520.0,773,3,2848,152,Visa,Credit,4361942024605018,03/2021,649,True,1,10300.0,05/2003,2016,No,,
63,7475400,1/1/2010 1:54,597,4540,$14.20 ,Swipe Transaction,66541,San Francisco,CA,94131,5300,"
",597,72,66,1948,1,Male,5138 North Drive,37.7400016784668,-122.44000244140625,51692.0,65055.0,1676.0,736,6,4540,597,Visa,Debit,4682047932663844,01/2023,822,True,2,76343.0,09/2003,2014,No,No,
64,7475401,1/1/2010 1:54,1449,241,$119.23 ,Online Transaction,87530,ONLINE,,,4900,"
",1449,66,63,1953,6,Male,5807 Lincoln Street,32.61000061035156,-83.62999725341797,15334.0,28104.0,12054.0,751,3,241,1449,Mastercard,Debit,5134527149271246,02/2022,755,True,2,11457.0,01/2010,2016,No,No,
65,7475402,1/1/2010 1:55,1755,4228,$10.61 ,Swipe Transaction,82981,Dublin,GA,31021,5912,"
",1755,53,70,1967,2,Male,302 Park Boulevard,31.959999084472656,-83.7699966430664,13864.0,28269.0,66681.0,734,6,4228,1755,Visa,Debit,4467616812518975,10/2020,60,True,1,12519.0,08/2007,2009,No,,
66,7475403,1/1/2010 1:56,760,5876,$52.98 ,Online Transaction,39021,ONLINE,,,4784,"
",760,56,64,1964,2,Female,532 Sixth Drive,39.97999954223633,-82.9800033569336,18420.0,37558.0,72514.0,778,3,5876,760,Amex,Credit,360330585295390,05/2022,887,True,1,9100.0,12/2007,2008,No,No,
67,7475404,1/1/2010 1:56,1642,4281,$3.35 ,Swipe Transaction,44625,Manasquan,NJ,8736,5812,"
",1642,37,66,1982,4,Female,48190 Plum Drive,39.959999084472656,-74.05999755859375,19848.0,40470.0,41938.0,731,5,4281,1642,Visa,Debit,4680328184934192,12/2012,377,True,1,26730.0,08/2008,2010,No,,
68,7475406,1/1/2010 1:58,1542,2906,$39.05 ,Swipe Transaction,58215,Cleveland,OH,44118,5813,"
",1542,46,69,1973,12,Female,515 South Street,41.470001220703125,-81.66999816894531,27250.0,55565.0,34039.0,731,2,2906,1542,Mastercard,Debit (Prepaid),5712463929886788,06/2020,814,True,2,65.0,05/2006,2009,No,No,
69,7475407,1/1/2010 2:00,727,4295,$6.79 ,Swipe Transaction,72351,Saint Louis,MO,63112,5541,"
",727,44,68,1975,5,Male,310 Bayview Boulevard,38.630001068115234,-90.23999786376953,19874.0,40522.0,81572.0,801,5,4295,727,Mastercard,Debit,5252574971670597,04/2018,920,True,1,19086.0,08/2009,2011,No,,
70,7475410,1/1/2010 2:05,1097,4690,$100.00 ,Swipe Transaction,27092,Grand Rapids,MI,49548,4829,"
",1097,39,68,1980,10,Male,952 Mountain View Boulevard,43.95000076293945,-86.44000244140625,15863.0,32343.0,59006.0,732,3,4690,1097,Visa,Debit,4438751767989238,05/2022,781,True,1,17319.0,09/2008,2010,No,No,
71,7475411,1/1/2010 2:05,1453,1117,$196.22 ,Swipe Transaction,5009,Middletown,NY,10940,7011,"
",1453,37,73,1982,11,Female,4830 Ocean Drive,33.72999954223633,-87.27999877929688,17716.0,36122.0,51593.0,641,2,1117,1453,Mastercard,Debit,5836173617667136,11/2024,80,True,1,14561.0,02/2007,2015,No,No,
72,7475412,1/1/2010 2:06,1024,1006,$3.83 ,Swipe Transaction,2177,Colwich,KS,67030,5411,"
",1024,66,67,1953,4,Male,554 Grant Boulevard,37.689998626708984,-97.12999725341797,32162.0,65573.0,143069.0,739,4,1006,1024,Visa,Credit,4903105068681962,03/2024,274,True,1,16100.0,02/2002,2014,No,No,
73,7475413,1/1/2010 2:07,858,13,$1.87 ,Swipe Transaction,81833,Gonzales,TX,78629,5912,"
",858,47,67,1972,11,Male,335 Valley Stream Boulevard,29.5,-97.44000244140625,15092.0,30774.0,51428.0,700,3,13,858,Mastercard,Credit,5106045376475662,03/2021,686,True,1,14600.0,01/2000,2012,No,,
74,7475414,1/1/2010 2:08,1084,3454,$6.63 ,Swipe Transaction,45926,Tacoma,WA,98403,5814,"
",1084,36,66,1984,1,Male,152 West Drive,47.2599983215332,-122.44999694824219,31518.0,64262.0,75415.0,775,4,3454,1084,Visa,Debit,4105025447291578,07/2023,810,True,1,35268.0,06/2009,2009,No,No,
75,7475415,1/1/2010 2:08,1622,2877,$8.30 ,Swipe Transaction,43293,Canton,MA,2021,5499,"
",1622,41,61,1979,1,Female,1063 Federal Boulevard,42.150001525878906,-71.12999725341797,38878.0,79271.0,211919.0,759,1,2877,1622,Mastercard,Debit,5215629197170613,12/2020,502,True,2,40176.0,05/2005,2009,No,No,
76,7475416,1/1/2010 2:09,1787,2228,$2.75 ,Swipe Transaction,75781,Lexington,KY,40509,5411,"
",1787,52,66,1967,9,Female,417 Hill Lane,38.040000915527344,-84.44999694824219,28583.0,58278.0,51539.0,689,6,2228,1787,Mastercard,Debit,5686962857502766,06/2022,257,True,1,27590.0,03/2009,2010,No,,
77,7475417,1/1/2010 2:11,34,1166,$4.07 ,Swipe Transaction,49789,Sacramento,CA,95829,5541,"
",34,41,55,1978,8,Male,7467 Spruce Drive,38.47999954223633,-121.33999633789062,25431.0,51854.0,72162.0,737,2,1166,34,Mastercard,Debit,5039048842448184,11/2023,339,True,2,10775.0,02/2009,2010,No,No,
78,7475419,1/1/2010 2:12,1424,4710,$2.31 ,Swipe Transaction,95811,Seligman,AZ,86337,5411,"
",1424,101,68,1918,5,Female,887 Third Boulevard,35.130001068115234,-112.98999786376953,13086.0,15348.0,1396.0,761,4,4710,1424,Mastercard,Credit,5033949193863455,05/2021,76,True,2,8000.0,09/2009,2011,No,No,
79,7475420,1/1/2010 2:13,121,5952,$0.21 ,Swipe Transaction,61195,Menasha,WI,54952,5541,"
",121,34,66,1985,11,Female,71858 Mountain View Street,44.209999084472656,-88.43000030517578,22277.0,45419.0,124370.0,721,3,5952,121,Visa,Debit,4716535552633032,02/2023,508,True,1,18137.0,12/2008,2011,No,No,
